1, 3, 0.16
1, 8, 0.18
1, 10, 0.33
1, 13, 0.31
1, 15, 0.18
1, 18, 0.36
1, 21, 0.17
1, 23, 0.00
1, 24, 0.18
1, 28, 0.38
2, 3, 0.18
2, 16, 0.50
2, 18, 0.13
2, 19, 0.57
2, 20, 0.57
2, 26, 0.09
2, 29, 0.29
2, 30, 0.50
3, 4, 0.06
3, 5, 0.29
3, 6, 0.11
3, 9, 0.31
3, 13, 0.40
3, 16, 0.20
3, 17, 0.21
3, 18, 0.44
3, 22, 0.33
3, 28, 0.47
3, 30, 0.33
3, 31, 0.27
4, 7, 0.43
4, 8, 0.29
4, 17, 0.29
4, 23, 0.17
4, 24, 0.23
5, 9, 0.70
5, 10, 0.33
5, 13, 0.42
5, 15, 0.30
5, 22, 0.78
5, 25, 0.30
5, 26, 0.08
5, 28, 0.50
5, 31, 0.50
6, 10, 0.00
6, 11, 0.08
6, 12, 0.25
6, 16, 0.20
6, 24, 0.29
6, 26, 0.20
6, 30, 0.38
7, 8, 0.50
7, 12, 0.14
7, 21, 0.25
7, 23, 0.17
7, 24, 0.33
8, 21, 0.50
8, 24, 0.36
9, 10, 0.36
9, 13, 0.45
9, 15, 0.20
9, 18, 0.20
9, 22, 0.50
9, 25, 0.33
9, 31, 0.40
10, 13, 0.50
10, 15, 0.57
10, 18, 0.31
10, 28, 0.45
11, 13, 0.08
11, 18, 0.14
11, 21, 0.10
11, 24, 0.21
11, 25, 0.11
11, 31, 0.09
12, 24, 0.27
12, 30, 0.17
13, 18, 0.50
13, 22, 0.36
13, 28, 0.55
14, 21, 0.00
15, 28, 0.30
16, 19, 0.50
16, 20, 0.50
16, 30, 0.45
17, 18, 0.27
17, 24, 0.25
17, 30, 0.25
18, 24, 0.24
18, 28, 0.36
18, 30, 0.31
19, 20, 1.00
19, 29, 0.50
19, 30, 0.25
20, 29, 0.50
20, 30, 0.25
21, 24, 0.33
22, 25, 0.38
22, 26, 0.09
22, 28, 0.33
22, 31, 0.63
24, 26, 0.14
24, 30, 0.29
25, 31, 0.67
26, 30, 0.23
28, 30, 0.11
28, 31, 0.25
